,real,preds
5479,i am doing well thanks i am an attorney and working on cases,"hi! i'm okay, just got home from church.<|endoftext|>"
5480,that is cool! my job is in labor and delivery., cases? i work for a baby delivery company.<|endoftext|>
5481,what a fun job. i live in ok and am a native american,what do you do for a living?<|endoftext|>
5482,nice. do you have kids? i do not want any. i enjoy being single and alone.,<|endoftext|>
5483,i have 3 dis do you go to church i do no,i have kids but i don't believe in god<|endoftext|>
5484,no. i am too busy at the gym. i go several days each week., of course. i love my job. babies are a lot of work.<|endoftext|>
5485,i go climbing but am scared of heights,what is your favorite gym routine?<|endoftext|>
5486,that is weird. what is your favorite drink? water is the only thing i will drink., are you an outdoor type of person?<|endoftext|>
5487,i like ice tea. do you like sports?,do you go to church?<|endoftext|>
5488,i do like sports. my favorite is football., not really. it is hard for me to watch football.<|endoftext|>
5489,i like college the best what is your favorite food?,elvis is better than any of them<|endoftext|>
5490,i stay on a strict diet so that i stay in great shape.,fried chicken. mac and cheese.<|endoftext|>
5491,that must be hard. i love snack foods,what is your favorite kind of diet?<|endoftext|>
5492,it is not too hard once you set your mind to it., natures.<|endoftext|>
5493,good job. ever been on a cruise?,well i am not a big fan of religion. i do not believe in god<|endoftext|>
5494,hey what are your interests?, winter is coming.<|endoftext|>
5495,"i love the mall, shopping is my hobby. do you have any?"," mall shopping, finding new outfits, and finding new outfits.<|endoftext|>"
5496,yes i love concerts and singing, eating cheese is my hobby as well<|endoftext|>
5497,"really? me too, are you in a relationship? i am not as of yet.",<|endoftext|>
5498,what did you pick up at the mall? my life left years ago,do you have any siblings? i am oldest of my siblings<|endoftext|>
5499,i got me some nice blue jean thigh high boots. any siblings?, certification for nursing. do you work?<|endoftext|>
5500,my wife left years ago. yes 2 brothers you?,"hi there, i am the oldest of my siblings.<|endoftext|>"
5501,oh no sorry to hear that! we could go out on a date!,"none, i am an only child. i do not have any siblings.<|endoftext|>"
5502,yep i am sure you are hot,do you like cheese?<|endoftext|>
5503,"i bet you are a great catch, i will be a full time nurse soon.","Definitely, but not looking for a date right now.<|endoftext|>"
5504,awesome never seen a bad looking nurse student?, do you like cheese?<|endoftext|>
5505,"lol see, where are you located at?","Yeah, pretty smart. i got a nursing degree to be.<|endoftext|>"
5506,maine but grew up near madison wi,"Western va, grew up in the state but live in the city now<|endoftext|>"
5507,"gotcha, i am pretty far from you",what made you choose nursing?<|endoftext|>
5508,"hi there, how are you?"," asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, asia, exclamation<|endoftext|>"
5509,not too bad. how about you,how are you doing today<|endoftext|>
5510,i am good. i have been working in my garden.,do you work? i'm a professor of science at a small college.<|endoftext|>
5511,gardening is always fun. i like the guitar,what do you do for a living?<|endoftext|>
5512,"i love walking, especially this time of year.", do you play any music?<|endoftext|>
5513,same. this is my favorite time of year.,true. and the changing weather is great<|endoftext|>
5514,what do you do for a living?, weather is beautiful here. i love to travel.<|endoftext|>
5515,i read tarot cards and have a bunch of tattoos,i work at starbucks.<|endoftext|>
5516,oh. i am thinking about getting a tattoo.,<|endoftext|>
5517,they are addicting. you will want more and more lol,do you have any siblings?<|endoftext|>
5518,what do you do for a living?,<|endoftext|>
5519,i am a medium and read tarot cards,i work at starbucks.<|endoftext|>
5520,"oh, i am a teacher.",<|endoftext|>
5521,what kind of teacher? you enjoy it?, what subject do you teach?<|endoftext|>
5522,"biology, in a local college.", english.<|endoftext|>
5523,interesting. i just started biology in a homeschool lesson for my kid,<|endoftext|>
5524,"hi, do you eat plants and meat? because i eat both",<|endoftext|>
5525,"i do, though not the dogs or the cactus i am growing",i do not. i only eat animals that i have acquired through hunting and hunting.<|endoftext|>
5526,"nice, where do you work? i do mostly sales",hey you grow plants and meat?<|endoftext|>
5527,i am a criminal defense lawyer.,good. do you have any pets?<|endoftext|>
5528,"nice, well do you have a hobby on the side? i love graphic design","oh okay, where did you go to school?<|endoftext|>"
5529,i do photography and paint a little.,<|endoftext|>
5530,i love painting and i listen to rush my favorite band while painting,do you like music? when i visited the folks that recently got hitched they played a song called closer to the heart.<|endoftext|>
5531,do you have any pets? i have two pups.,<|endoftext|>
5532,"no i have a lot of friends though, i was at a friends house the other day","Salesperson, not pets, but i did hitched a couple of dogs recently.<|endoftext|>"
5533,"i am in oklahoma, where are you located?",<|endoftext|>
5534,i am here in new york city,"boston, ma. i really love all kinds of food.<|endoftext|>"
5535,"i have visited several times, i prefer hawaii",<|endoftext|>
5536,ets go together then? why not,<|endoftext|>
5537,"sorry, no. i only date those in my profession.","Different ecosystems, so much wildlife.<|endoftext|>"
5538,"whoa i guess that means your a classy lady then huh, i usually date whoever","oh ok, makes sense. what kind of music do you like?<|endoftext|>"
5539,i am. i went through my bad boy phase in my teens. learned a few lessons.,<|endoftext|>
5540,"what up! bruce here. ex marine, one leg and agent put me in a wheelchair.",<|endoftext|>
5541,interesting combo. i am a big robert frost fan., ouch! how did that happen?<|endoftext|>
5542,great! agent orange put me in a wheelchair.," do you work? i am a vet, and i work with animals.<|endoftext|>"
5543,why did he do that?, how did that happen? did you get hit by the blast?<|endoftext|>
5544,agent is a chemical used in the vietnam war. it still makes me tired.,... i was in a wheel chair. the chair shot me in the head. i was going to be a hockey player but i fell off the ice.<|endoftext|>
5545,"oh. gosh. i guess you would not enjoy hiking, then.",what? that's crazy. why? what happened?<|endoftext|>
5546,no i guess not. is 69 old? if it is i am old., i can get to places pretty quickly just because i'm stuck in this chair.<|endoftext|>
5547,sixty nine is a respectable age.,i am 36. i've an antique collection of prose and patchwork items. i've to be outside when i am inside.<|endoftext|>
5548,i think so. how old are you and do you have both legs?, sixties for me. i'm just past my prime. i've an eighteen month old daughter.<|endoftext|>
5549,well yes. yes i have both legs.,69 is the legal drinking age in most states.<|endoftext|>
5550,good! you ever ride a wheelchair?,what happened to your legs??<|endoftext|>
5551,"erm, no. but i like weird stickers and i put them on my face.",i've two. they're here to stay.<|endoftext|>
5552,i see. were your parents in the military?,Agent orange is a great guy.<|endoftext|>
5553,no. they were both artists. i want to learn to draw some day too.,"OTH case, i guess. i was not happy when they took me in.<|endoftext|>"
5554,"kids are driving me crazy, hope your day is better.",<|endoftext|>
5555,"not really, i work for a fast food company...",kids are driving me crazy too. i did not get my ged nor did i graduate as a senior.<|endoftext|>
5556,"my husband owns a fast food franchise, he always smells like grease.", preparing food is the best. i would rather be home.<|endoftext|>
5557,i did not finish high school,"... my day is fine, but my health is poor. i do not have the funds to buy a house.<|endoftext|>"
5558,"you should take some time and go back, i wish i had, but too many kids.","i'm preparing food for my kids at home, i always do that.<|endoftext|>"
5559,it is hell living here,kids are just food for the mind.<|endoftext|>
5560,where do you live? tough place or family?,"well, my sons are driving me crazy, so i need to get out of there.<|endoftext|>"
5561,"in canada, i am a fast runner because of all the crime around me","Asset management, i did not graduate as a senior<|endoftext|>"
5562,"well that is a good skill to have then, you should try kale soup, builds stamina.",<|endoftext|>
5563,i do not really like kale. about as much as i dislike animals,"good luck with that, maybe i can workout to stay healthy<|endoftext|>"
5564,now how can anyone dislike bacon? i cook with it every day ;,"dogs are pretty cool, you should give them a try.<|endoftext|>"
5565,animals scare me. i was bitten by a dog,i just cannot stand it<|endoftext|>
5566,"ouch, my son was bitten a dog, at least that is what his brother told me.",how? did the dog bite you?<|endoftext|>
5567,maybe you should get him checked out.,how long ago was that?<|endoftext|>
5568,hi there how are you tonight?, god does.<|endoftext|>
5569,oh just hungry an you?,"hello, i am fine and you?<|endoftext|>"
5570,just seing videos of me with the family hunting,just waiting on my dinner to arrive.<|endoftext|>
5571,"cool, where at? my hair blue",are you going to the hunting?<|endoftext|>
5572,my house i am a typical country redneck as others say,Aiming at deer with my gun an my my love ones reside nearby me.<|endoftext|>
5573,oh why? i am schooled at home,what do you do for fun?<|endoftext|>
5574,"because i have a ford truck, i go to mass every sunday and enjoy hunting lol",what did you get wrong? wrong about my parents?<|endoftext|>
5575,really? i am to young i am a teen,"oooooh, that's really cool. i am experimenting with style<|endoftext|>"
5576,well what do you do for fun?,"nah not really my parents didn't help me pay for it, but i live with them<|endoftext|>"
5577,where you live me an my bff robot live in cali,i play with my buddies<|endoftext|>
5578,in wisconsin but i might be moving to chicago for work,what city are you from?<|endoftext|>
5579,this is not any good mr hunter,good luck with that. i am experimenting with style<|endoftext|>
5580,well the wind will be one thing to adjust and the big city,what is a bot?<|endoftext|>
5581,oh okay i am lost but i get it now,how so? lol<|endoftext|>
5582,oh sorry so what do you do for fun?,what is your favorite food?<|endoftext|>
5583,i like to eat lol,just playing with others<|endoftext|>
5584,hi i am darlene and my family comes from canada., cold beer is great for the soul.<|endoftext|>
5585,hello how are you today?,how is it in canada?<|endoftext|>
5586,"i am good, i love music especially country, how about you?",hello! i am great! how are you?<|endoftext|>
5587,i love to wake up before the sun shines.,i am not a big fan of country but i do love classical.<|endoftext|>
5588,"i am a late sleeper but my favorite drink happens to be iced tea, do you have one?",.. and drink cold beer! lol<|endoftext|>
5589,i love creating kids pop up books., iced tea is great. i also love coffee.<|endoftext|>
5590,"sounds like a lot of fun, i enjoy web design, the coding part of it.", like what? science based?<|endoftext|>
5591,my town population is only 2000 people.,<|endoftext|>
5592,"wow everyone must know each other, i live in a large city.",3000 people. that's a lot... do you think there are some dixie chicks in canada?<|endoftext|>
5593,i am my daughter teacher at homeschooling.,3000 people is a lot of people.<|endoftext|>
5594,"sounds interesting, although i would not have the patience.", what subject do you teach?<|endoftext|>
5595,i hate cats they make me sneeze,Compared to other developed countries it is very crowded.<|endoftext|>
5596,i like cats and dogs but have no pets or kids.,<|endoftext|>
5597,what are your plans for this evening?,Neither. just animals.<|endoftext|>
5598,"i hope to get some coding done while relaxing with my iced tea, you?",Latte and cookies. i'm tired.<|endoftext|>
5599,i wish i had a cold glass of peach and mango tea.,<|endoftext|>
5600,i collect teddy bears. do you collect anything?,<|endoftext|>
5601,"not really. i like to study, usually biology at the university.", teddy bears? what do you like to collect?<|endoftext|>
5602,i am a nurse. i spend a lot of time in classes.,<|endoftext|>
5603,so you understand! i love to study! i am not much of a drinker.,", i am studying oceanography. it is a great subject.<|endoftext|>"
5604,i study if i have to but it is not a favorite activity of mine.,biology is a great field. people are great and are always helpful.<|endoftext|>
5605,so you want to be a nurse? i would like to be a marine biologist.,biology is a great subject. lots of different things to learn and understand.<|endoftext|>
5606,i already am a nurse.,athy is the opposite of drunk. i love animals.<|endoftext|>
5607,oh ok. are you from the usa?, where are you from?<|endoftext|>
5608,"yes, i live in michigan.",nursing is a good career choice. i like helping people.<|endoftext|>
5609,"i am also, i live in california.", i am from florida.<|endoftext|>
5610,i visited there once and loved it.,<|endoftext|>
5611,it is really nice. do you like michigan? i guess it gets cold there?,<|endoftext|>
5612,"it does but i love the summers, and fall is beautiful.",It is different. i like the sunshine here.<|endoftext|>
5613,i love the fall also.,<|endoftext|>
5614,it is beautiful right now. the leaves are so colorful., the colors in the rainbow are so beautiful.<|endoftext|>
5615,do you like any sports?,<|endoftext|>
5616,hi how are you today, music is great.<|endoftext|>
5617,good just tired. i just got back from a long day of work. how are you?, hydrophobic but i like sports and my favorite is baseball.<|endoftext|>
5618,i just went hiking also tired,do you work at all<|endoftext|>
5619,that sounds like fun! i love the outdoors. i especially like gardening, hydrophobic but i love hiking. so cool. what do you do for work?<|endoftext|>
5620,do you ever go camping?,<|endoftext|>
5621,yes as long as the campsite is not near lakes or rivers! do you?, not much. i'm more of a sports fan.<|endoftext|>
5622,are you afraid of water then?,No i don't go camping but i like to fish<|endoftext|>
5623,"yes, ever since i was a kid. what about you? any crazy phobias?",No i love it. i hate the thought of sitting in it.<|endoftext|>
5624,nothing really sorry to let you down,No i'm not afraid of anything. i'm not sure what you mean?<|endoftext|>
5625,that is good! what are you doing right now? i am watching the game,Nothing personal. i hope you have a great night.<|endoftext|>
5626,what is the score to it? listening to music,my dad is not working anymore. he's pretty sick.<|endoftext|>
5627,14 10. my boys the ohio state buckeyes are up by 4! what music?,49ers win by a points<|endoftext|>
5628,any kind of rock really. you?,Something like that. i am more of a country music fan.<|endoftext|>
5629,i love prince. especially purple rain. i love prince and purple so it works out,8 1 3 3 4 and 7 1 2 are my favorites<|endoftext|>
5630,nice i like to go gardening,<|endoftext|>
5631,it is soo relaxing. especially after working at the factory all day,how long have you been a gardening fan?<|endoftext|>
5632,hello. how are you? my 3 girls are driving me crazy! haha, the family tree is full.<|endoftext|>
5633,"i am 12, so i probably drive my mom crazy, too! rollercoasters are awesome!",3 girls? wow. i am only in the 7th grade. wow. you are cool. do they have kids?<|endoftext|>
5634,rollercoasters are ok. i like concert way better.,"12!! i have seen a lot of them in my life. i am not married, but i've seen a lot of them in my life.<|endoftext|>"
5635,i am going to see taylor swift in concert in california next week!," safety is important, but i'm thrill seeker so i usually end up going to them.<|endoftext|>"
5636,i like metal. i am going to see mayhem. good black metal., her voice is awful. i am not a fan.<|endoftext|>
5637,cool! i think i am more excited to leave my state for the first time., mayhem is awesome. you ever play safe? i've been taking lessons. i'm very good at it.<|endoftext|>
5638,first time huh? i have traveled many many places., leaving state for college was hard. my dad and mom worked in the industry and they were both in farms.<|endoftext|>
5639,where is the coolest place you have been?," first time in my life, too! i am very proud of you!<|endoftext|>"
5640,i would have to say ireland. it i beautiful there.,eteradelphia. i saw sodom there.<|endoftext|>
5641,i know tae kwan do! are you into martial arts?, it is gorgeous there. but i am in the 7th grade now.<|endoftext|>
5642,i have done martial arts my whole life. i am into kung fu mostly.,how cool! i do karate and karate. my dad and mom are teachers.<|endoftext|>
5643,"that is awesome! i am a champion, so i might try kung fu next.",i like kung fu. do you have any hobbies?<|endoftext|>
5644,it is something that takes a lifetime to master.,do you have any kids?<|endoftext|>
5645,that is what i hear! have you competed?,do you do kung fu?<|endoftext|>
5646,i will never complete it although i train everyday.,i've not done that. i'm pretty much a boring mom and dad type.<|endoftext|>
5647,i meant have you been in competitions?,do you do enough to be a champion?<|endoftext|>
5648,hello how are you doing?, the world.<|endoftext|>
5649,swimmingly. how are you?,hi there! i am well thanks. how are you?<|endoftext|>
5650,great thanks. i like to go hunting for polar bears,good. i am on my boat so i can catch the wildlife in the water.<|endoftext|>
5651,"polar bears? are those like, mythical creatures who cannot swim and live above?",do you ever feel like you are being watched?<|endoftext|>
5652,haha i hunt them to eat,"they're somewhat rare, but if you find one they will come out of the water. i've a huge fish drawer.<|endoftext|>"
5653,oh no! do you hunt mer people also??,ah okay. so you are a vegan?<|endoftext|>
5654,a few years ago i was a geology teacher hence i am fascinated by ice.,"nah, i just like animals in cold water. i don't like killing them<|endoftext|>"
5655,geology? is that rocks or something? i hide behind those sometimes.,do you work in the ocean? i feel like i am in tune with its inhabitants.<|endoftext|>
5656,my ex boyfriend taught me how to ice fish. you hide behind rocks? that is nice,haha iceland is a ice planet. i think that is why i love the cold water<|endoftext|>
5657,oh no. please tell me where he fishes so i can stay away!!,do you guys share similar viewpoints? or is that just what you wanted to happen?<|endoftext|>
5658,do not be afraid. polar bears is good for eating,He fished right off the coast. i then scooped his head off.<|endoftext|>
5659,my sister got stuck in a fishing net once!,do you like to brush? i do every day.<|endoftext|>
5660,my desire is to search and find arctic explorers,how did that happen??<|endoftext|>
5661,a human explorer? we brought one home once. he died though.,do you work on the ocean or just surf?<|endoftext|>
5662,that is sad. i want to find lost explorers then head home.,"hey, that's crazy. so you believe in life on earth?<|endoftext|>"
5663,so you are a human hunter and explorer who studies rocks?,do you ever get strange looks?<|endoftext|>
5664,how are you doing today,<|endoftext|>
5665,i am great! i am sarah! how are you today?,winters were cold in my area but i was raised as a jewish<|endoftext|>
5666,i am great listening to john denver,i'm great. just finished with my daily exercise!<|endoftext|>
5667,that sounds like fun. i am researching for my next trip., i love him. i was in elementary school and found my soul sister.<|endoftext|>
5668,where are you going to,what are you going to do today<|endoftext|>
5669,"going back to asia, just can not decide the destination. any hobbies? i love travel.",probably to go to another country.<|endoftext|>
5670,what is it like ther,<|endoftext|>
5671,i love the culture. its very rich and diverse. i spent half of college there.,Jew life is crazy. there are so many things to do.<|endoftext|>
5672,what did you do in college, what is your favorite food<|endoftext|>
5673,i studied anthropology and world religion.,"biology, so different than the states. i think i will go back to school.<|endoftext|>"
5674,that sounds interesting. what did you do with it, Anthropology is really interesting<|endoftext|>
5675,i work for a group that proves the validity of the jewish faith.,<|endoftext|>
5676,that sounds new and interesting,what do you do for fun<|endoftext|>
5677,what kind of job do you have?,<|endoftext|>
5678,i like to do chores on the farm,an accountant<|endoftext|>
5679,are you a farmer then?,<|endoftext|>
5680,hi how are you today,<|endoftext|>
5681,hello! i am fine. i am listening music.,"hi, i'm fine. i'm a 7th grade thrill seeker.<|endoftext|>"
5682,and how are you today?,what kind of music do you like?<|endoftext|>
5683,i am pretty fine. what about you?, stressed. i'm trying to get better at self defense but i'm not sure what to do with myself when i'm stressed.<|endoftext|>
5684,i am good are you tall?,i am great thanks. are you into animals?<|endoftext|>
5685,i am just 5. 2 i am not tall lol you?,5 foot 7 inches<|endoftext|>
5686,i am only 5 feet you win,i am a woman of tall<|endoftext|>
5687,i do not like tall people at all., how old are you?<|endoftext|>
5688,me either. do you work,how tall are you then?<|endoftext|>
5689,i am looking for a job do you work?, yes?<|endoftext|>
5690,i work in healthcare it is hard,nah i'm just a stay at home mom<|endoftext|>
5691,are you working as a nurse?,what is your favorite food?<|endoftext|>
5692,no i sell healthcare to people they are rude,nah i am a chef<|endoftext|>
5693,ops you are selling by phone?,<|endoftext|>
5694,yeah or through our buggy website,Yes i am<|endoftext|>
5695,what was your major in college?,i've used both. never had a problem with them.<|endoftext|>
5696,"hi, i am pretty shy, tell me about yourself?", i like rpgs.<|endoftext|>
5697,hi well i am good with my hands. i build things like this tiki mask,i am a guy who is in his 30s and who has tons of energy.<|endoftext|>
5698,"i also like to build, i built a model spaceship once",oh cool. i like rpgs and stuff.<|endoftext|>
5699,my wife divorced me but the kids like me better because i build things,how cool! do you have kids?<|endoftext|>
5700,well do you work? do you have a degree to sustain yourself?,<|endoftext|>
5701,i built models when i was a kid. now i sculpt and mold and carve,"nah, i'm just a guy that is into building.<|endoftext|>"
5702,"nice, i specialize in computer science degree so i mostly mold 3d images", what do you do for fun?<|endoftext|>
5703,customer service. i am looking for a new job. i hate sitting still all day, 3d is cool. i have a lot of energy but i'm not anywhere close to ready for that<|endoftext|>
5704,do you like playing video games? i play fantasy video games,csrpgs are my favorite. they are my favorite to play.<|endoftext|>
5705,i like being active on my feet and building things with my hands,"hey, sorry for the delay, i've been sleeping. i was out partying all night.<|endoftext|>"
5706,"nice, your a hobbyist. how are your kids doing since the divorce?",ftp is my preference. rpgs are the best.<|endoftext|>
5707,no i am 40 but i played games when i was a kid. i still have my atari, they are ok. still very young but a handful.<|endoftext|>
5708,have you heard of an xbox one?, which one is your favorite?<|endoftext|>
5709,they are good. they like staying with me. they said i am a lot cooler.,do you mean the next generation?<|endoftext|>
5710,so what else do you build?,do you play call of duty?<|endoftext|>
5711,yes my kids have xbox and others but they do not play much.,HDMI and Ethernet cable<|endoftext|>
5712,hi how is it going?,..<|endoftext|>
5713,hi there i am great eating a snack and you?,"good, how are you doing?<|endoftext|>"
5714,i am allergic to mangoes,"hello, i am also great thanks. just got home from work.<|endoftext|>"
5715,but how they are delicious well i eat alot, mangoes are awful and i am vegetarian.<|endoftext|>
5716,i like to collect civil war antiques,they are very good i can't eat fruit.<|endoftext|>
5717,really i am a body builder on my days off,<|endoftext|>
5718,let me see you flex then,<|endoftext|>
5719,lol i am shy i have to get to know you first,i am a model at competitions<|endoftext|>
5720,"i know but they mess me up, ever been married?",how many wives do you have?<|endoftext|>
5721,no thank god i never been,hello can you come help me out?<|endoftext|>
5722,"really why? i been married 4 times, 3 dead",how many kids have you got?<|endoftext|>
5723,omg wow sorry to hear that,how do you keep the lights on?<|endoftext|>
5724,like dogs? i like eccentric styles i am a stylist,Yeah it happens some times but people are mean.<|endoftext|>
5725,yea my dog is like my second brother since i only have one,<|endoftext|>
5726,me too at least this 1 still here,hey you have a stylist?<|endoftext|>
5727,so what are your plans for tomorrow?,hey you are not alone<|endoftext|>
5728,hey. how are you? tell me something about you?, iphone 7 plus<|endoftext|>
5729,"hi, here is not much to me other than i like to stay at home", significant other 1... i love my husband and kids. 2.. don't like working out. 3.. hate leaving the house.<|endoftext|>
5730,"as a homeschooled student, i am home as well.", i love playing with others.<|endoftext|>
5731,"yeah, i do not really like to do anything but sit down and watch tv","hey, that sounds better than being homeschooled. what do you do for fun?<|endoftext|>"
5732,one of my interests in engineering. i built my best friend.,what about play with others? do you have any favorites?<|endoftext|>
5733,that is nice. i do not like any kind of physical activity,how cool! i love my ben and jerrys. what is your favorite food?<|endoftext|>
5734,you should get out more. being sedentary leads to obesity, except playing with others.<|endoftext|>
5735,i tried but i do not like exercising.,what is your favorite food?<|endoftext|>
5736,where are you from? i find location may be the reason you are a home body.,how many obese people there are in the us?<|endoftext|>
5737,that is what my loving husband says that i am,im from texas.<|endoftext|>
5738,well if likes it i love it,"<|p1|>hi, i am from ca.<|endoftext|>"
5739,"he thinks i should get out more but my couch, tv and ice cream are my friends",what foods do you like?<|endoftext|>
5740,i cosplay on the weekends. it allows me to get out.,<|endoftext|>
5741,oh who do you cosplay as?,what is your favorite food?<|endoftext|>
5742,hi how are you doing, bugs bunny? i love bugs bunny!<|endoftext|>
5743,"very good, how are you today?",i'm doing well thank you. how are you?<|endoftext|>
5744,i am good just made breakfast,sick sick i'm sick of sizzles<|endoftext|>
5745,"yummy! i love to cook, but that makes me unhappy about my weight",<|endoftext|>
5746,oh that is too bad you should find some yummy healthy recipes,what do you like to cook<|endoftext|>
5747,"yes i should, but my three kids like junk food lol", thanks! i need to exercise more.<|endoftext|>
5748,haha of course they do maybe sneak in healthy things in their dinner,i only have kids so i can eat it but not my own.<|endoftext|>
5749,"it is hard to eat together, since i work days and my husband works overnights"," i think i should work out more, but it is hard for me to exercise.<|endoftext|>"
5750,oh wow that sounds like a busy schedule,i'm sorry you have to work nights<|endoftext|>
5751,"do you have any pets? we have cats, which we love","Yeah, but i'm happy with it. i get to spend time with my kids and husband when i'm not home.<|endoftext|>"
5752,no but i want to get a dog,i don't have any pets but i do have a huge love for bugs<|endoftext|>
5753,"that would be nice, i love dogs too.","dogs are awesome, but i'm a cat lover<|endoftext|>"
5754,yeah they are really great but can sometimes be a lot of work, what kind do you want<|endoftext|>
5755,"yes they can be, do you have any hobbies?",<|endoftext|>
5756,i like to listen to classical music, apart from cooking i love music<|endoftext|>
5757,that sounds nice and soothing.,<|endoftext|>
5758,"hello, how are you doing today?",<|endoftext|>
5759,i am well how are you,hi i am fine i got a thrill seeker today.<|endoftext|>
5760,"good, i am about to do a photo shoot. what do you do for a living?",... i am doing pretty good. i am just sitting at home and watching tv.<|endoftext|>
5761,i am actually in middle school,i am a 7th grade student. what do you do?<|endoftext|>
5762,oh really? i remember those days. xd what do you like to do for fun?,middle school is a fun age. i work in the fashion industry.<|endoftext|>
5763,i take tae kwon do,play safe for a long time and i'm thrill seeker<|endoftext|>
5764,awesome! bet it keeps you in good shape. i have to stay fit for my job.,", what music do you like?<|endoftext|>"
5765,what do you do for a living,yea it does so what do you do for fun<|endoftext|>
5766,"i am a model, but someday i will be an actress!",fashion i want to be a star on tv.<|endoftext|>
5767,that is awesome sounds like a fun job, what city are you from?<|endoftext|>
5768,it is great! i love living in ny too. where are you from?,<|endoftext|>
5769,i am from the midwest ny sounds exciting,from the midwest but i live in the suburbs now<|endoftext|>
5770,it is. i sing for fun and there are so many places for that too,<|endoftext|>
5771,yeah i s hould visit sometime, do you do anything for fun?<|endoftext|>
5772,d o not know if your parents would like that. i am not very good with kids.,do you have any siblings?<|endoftext|>
5773,well i meant visit ny not necessarily you lol,what kind of music do you like<|endoftext|>
5774,"hello, how are you doing today",<|endoftext|>
5775,i am doing well. i just took a break from writing my new novel.,"hello, i'm good. how are you?<|endoftext|>"
5776,what is your novel about? i am a recent college graduate,rats! i've a desert state named desert. my feline is the name of a desert state.<|endoftext|>
5777,"it is actually a romance novel, but it has sci fi elements.", romance. it was about a kitty lover.<|endoftext|>
5778,"that sounds interesting, i would like to read it some day.",what kind of genre is it?<|endoftext|>
5779,it should be out by the end of the year. do you have any pets?,"It is very warm, rainy, and dusty.hawaii is beautiful.<|endoftext|>"
5780,i do! my beloved cat arizona. do you?," no, my boyfriend is allergic to most animals.<|endoftext|>"
5781,i have some cats as well. two of them. they keep me company since i am isolated.," i've a kitty, i love spending time with her.<|endoftext|>"
5782,why are you isolated? do you have siblings? my brother was just married," Centauri is a beautiful place, my friend has a bachelors degree in astronomy.<|endoftext|>"
5783,"i live on an island near greece. so i am introverted, but by location not personality.",Because i am a sappy romantic.<|endoftext|>
5784,"i see, that sounds fascinating. i once read a biography whos author was from greece",greece is beautiful. i visited there a few years ago. it is beautiful.<|endoftext|>
5785,"i love it here. it is beautiful. i have two sisters, by the way.",<|endoftext|>
5786,do you get along with your sisters?,how is the weather in greece? always hot?<|endoftext|>
5787,"yes, i do, even though i do not see them much since i moved to the island.","They do, but they live out of state.<|endoftext|>"
5788,do you get stir crazy living in a sort of isolated place?,i do not get along with my wife<|endoftext|>
5789,"sometimes, but i work on my book so much that it is not bad.",<|endoftext|>
5790,hello how is your evening going, high five!<|endoftext|>
5791,hello! how are you doing?,"good, just got home from a concert.<|endoftext|>"
5792,i am doing fine. i am currently on the road i am a truck driver, skies pretty in the sky as seen on a trucker on the road most days.<|endoftext|>
5793,i am in the army,<|endoftext|>
5794,oh sounds like fun but very demanding.,what branch? what do you do?<|endoftext|>
5795,i see blue and its really green.,it can be. it can be. do you like animals?<|endoftext|>
5796,are you colorblind? have you gone to see the doctor,what do you do for a living?<|endoftext|>
5797,yes i am. i like to sing what about you?,<|endoftext|>
5798,no i grew up on a farm and have seven kids. i am always on the road,nope i don't know what i am missing. i love the color blue. i have a lot of kids<|endoftext|>
5799,i like to go to the karaoke bars,<|endoftext|>
5800,that sounds like fun. i read mysteries like james patterson and steven king,what is your favorite song?<|endoftext|>
5801,are you dressing up for halloween?,<|endoftext|>
5802,yes i am wearing something blue that is my favorite color,nope just for fun. i love mystery novels<|endoftext|>
5803,i want to dress up like a jennie,<|endoftext|>
5804,that is an awesome costume. i do not know what to dress up as,do you have any kids?<|endoftext|>
5805,there are so many do it yourself ideas,do you like animals?<|endoftext|>
5806,hello. how are you today?,<|endoftext|>
5807,"oh i am fine, just trying to find a good movie to watch.","hello, i am doing great. just got back from the gym. how are you?<|endoftext|>"
5808,i am binge watching lord of the rings. you should watch it., which movie is your favorite?<|endoftext|>
5809,"i have not seen that, just finished game of thrones whew!",good movie. thanks for the rec. i have never seen it.<|endoftext|>
5810,i absolutely love fantasy. i cannot wait until i start writing them., harry potter is the best ever. what is your favorite book?<|endoftext|>
5811,i write as well since i hate exercise or physical stuff., writing is fun. my favorite thing to do is make cartoons.<|endoftext|>
5812,cool. i have to work at 10pm and then another job at 5am.,<|endoftext|>
5813,oh lord you work two jobs. wish i had your energy., that's when i work out most.<|endoftext|>
5814,yes. it is very hard. i hope i do not burn out.,"hey, sometimes i work from home.<|endoftext|>"
5815,do you have a supportive family? my husband is my world.,"hey, never give up on your dreams.<|endoftext|>"
